Общая площадь,Цена,Долгота,Состояние,Широта,Количество комнат,Всего этажей,Серия,Этаж,Год постройки,Санузел,Мебель,Отопление,Тип предложения
52.0,47000.0,74.5887,1510,42.8061,2.0,4.0,1189,4.0,-999.0,2341,3131,4104,3143
43.0,33000.0,74.6269,1257,42.8394,2.0,4.0,374,1.0,-999.0,1229,771,4104,2623
87.0,71000.0,74.5932,939,42.8717,2.0,13.0,2728,2.0,-999.0,1775,3131,4104,3143
55.0,43000.0,74.5915,939,42.8652,2.0,10.0,2728,5.0,-999.0,1775,716,4104,3143
134.0,90000.0,74.5838,939,42.8815,4.0,10.0,2728,7.0,-999.0,1775,3131,4104,3143
82.0,59500.0,74.6174,1510,42.8674,3.0,9.0,311,2.0,-999.0,1775,3131,4104,3143
73.0,43000.0,74.6815,939,42.8585,2.0,7.0,2728,6.0,2020.0,409,3131,861,2623
141.0,130000.0,74.6829,1372,42.8803,5.0,10.0,2728,9.0,2016.0,409,771,4104,2623
150.0,129000.0,74.6006,1510,42.8343,3.0,9.0,2728,6.0,-999.0,409,1148,861,3143
100.0,130000.0,74.6194,1372,42.873,3.0,14.0,2728,14.0,-999.0,409,3131,4104,2623
140.0,115000.0,74.6146,1372,42.8643,4.0,5.0,2728,4.0,-999.0,2341,3131,4104,2623
135.0,125000.0,74.623,1372,42.8756,3.0,13.0,2728,5.0,-999.0,409,771,4104,2623
78.0,81500.0,74.5929,1372,42.8735,2.0,10.0,2728,7.0,-999.0,2341,3131,4104,2623
57.0,53000.0,74.588,338,42.87,2.0,9.0,1189,6.0,-999.0,2341,3131,4104,2623
73.0,53500.0,74.6162,939,42.8188,2.0,9.0,2728,6.0,2021.0,2341,3131,4104,2623
83.5,70000.0,74.6199,1510,42.8731,2.0,9.0,1189,6.0,-999.0,1775,771,4104,2623
120.0,120000.0,74.6472,1372,42.8769,3.0,10.0,2728,6.0,2017.0,409,3131,4104,2623
60.0,43000.0,74.6165,1510,42.877,2.0,7.0,1189,7.0,1984.0,1775,1148,4104,3143
69.0,42000.0,74.606,1257,42.8567,2.0,12.0,2728,7.0,-999.0,2341,3131,4104,3143
56.0,25500.0,74.6274,1510,42.8628,2.0,4.0,1189,2.0,-999.0,1775,1148,277,3143
45.0,34500.0,74.6336,1372,42.8494,1.0,9.0,208,4.0,2016.0,2341,3131,861,2623
39.0,31000.0,74.6353,1510,42.8702,1.0,9.0,208,8.0,-999.0,1229,1148,4104,3143
48.3,46500.0,74.5907,1372,42.8805,2.0,12.0,2728,7.0,2019.0,1229,771,4104,2623
46.1,35000.0,74.6227,194,42.8313,2.0,4.0,374,1.0,-999.0,1229,1148,4104,2623
40.0,34000.0,74.6164,1510,42.8684,1.0,9.0,311,8.0,-999.0,2341,3131,4104,2623
50.0,44000.0,74.6048,1510,42.8291,2.0,9.0,473,5.0,-999.0,1775,3131,861,2623
32.0,32500.0,74.6176,1510,42.8306,1.0,4.0,374,3.0,-999.0,1229,3131,4104,2623
45.0,31500.0,74.6302,1510,42.884,1.0,9.0,208,3.0,-999.0,1229,3131,861,2623
32.0,30500.0,74.6191,1510,42.8668,1.0,5.0,374,2.0,-999.0,1229,1148,4104,2623
45.0,33000.0,74.6333,1372,42.8451,1.0,9.0,208,8.0,-999.0,1229,3131,277,2623
34.0,27500.0,74.6895,1257,42.8763,1.0,9.0,473,8.0,-999.0,1229,3131,4104,2623
36.0,31500.0,74.6094,194,42.8587,1.0,9.0,311,4.0,-999.0,1229,3131,861,2623
30.0,26500.0,74.5859,194,42.8425,1.0,4.0,161,3.0,-999.0,1229,3131,861,2623
31.0,30500.0,74.5774,1510,42.8746,1.0,5.0,1189,4.0,-999.0,1229,3131,4104,2623
58.0,44500.0,74.6311,1510,42.8247,3.0,4.0,374,3.0,-999.0,1229,716,4104,2623
