Общая площадь,Цена,Долгота,Состояние,Широта,Количество комнат,Всего этажей,Серия,Этаж,Год постройки,Санузел,Мебель,Отопление,Тип предложения
73.0,58000.0,74.5884,евроремонт,42.8545,2.0,10.0,элитка,2.0,2018.0,,,на газе,от собственника
50.0,40000.0,74.5884,евроремонт,42.8544,1.0,10.0,элитка,10.0,2018.0,совмещенный,,,от собственника
48.0,40000.0,74.6887,,42.8752,2.0,5.0,105 серия,1.0,,,,центральное,от собственника
46.0,44000.0,74.5929,,42.8694,3.0,5.0,индивид. планировка,1.0,,раздельный,,центральное,от собственника
105.0,100000.0,74.6861,евроремонт,42.8801,3.0,11.0,элитка,8.0,2017.0,раздельный,полностью меблирована,центральное,от собственника
51.0,38000.0,74.6479,евроремонт,42.8768,2.0,10.0,элитка,2.0,2019.0,,,центральное,от агента
84.0,50500.0,74.6479,под самоотделку (псо),42.8768,2.0,10.0,элитка,6.0,2019.0,,,центральное,от агента
122.0,73500.0,74.6479,под самоотделку (псо),42.8768,3.0,10.0,элитка,4.0,2019.0,,,центральное,от агента
42.0,35000.0,74.5413,хорошее,42.8645,2.0,3.0,хрущевка,3.0,,совмещенный,частично меблирована,центральное,от агента
49.0,50000.0,74.5875,хорошее,42.8707,2.0,9.0,индивид. планировка,2.0,,раздельный,частично меблирована,центральное,от агента
53.6,44500.0,74.6316,евроремонт,42.8322,1.0,12.0,индивид. планировка,12.0,2018.0,совмещенный,пустая,центральное,от агента
58.0,46000.0,74.6183,хорошее,42.8285,3.0,4.0,104 серия,1.0,1975.0,совмещенный,пустая,центральное,от агента
49.0,37000.0,74.5833,требует ремонта,42.8435,3.0,4.0,хрущевка,1.0,1968.0,раздельный,пустая,центральное,от агента
34.0,31500.0,74.6812,,42.8577,1.0,9.0,индивид. планировка,4.0,2020.0,,,центральное,от агента
61.0,48000.0,74.6131,хорошее,42.8672,3.0,9.0,105 серия,1.0,1984.0,раздельный,пустая,центральное,от агента
65.0,60000.0,74.5782,хорошее,42.8809,3.0,5.0,индивид. планировка,1.0,,раздельный,,центральное,от агента
