,Общая площадь,Долгота,Состояние,Широта,Количество комнат,Количество просмотров,Всего этажей,Серия,Этаж,Длина описания,Год постройки,Высота потолков,Мебель,Возможность обмена,Отопление,Тип предложения,Санузел,кондиционер
74,68.3,74.6298,1372,42.8377,3.0,455,5.0,1189,4.0,180,1993.0,-999.0,3131,3843,4104,2623,1775,0
75,44.5,74.5806,1510,42.8418,2.0,481,10.0,1189,10.0,206,2017.0,-999.0,3131,3843,4104,2623,409,0
76,47.0,74.5884,939,42.8545,1.0,581,10.0,2728,3.0,592,2018.0,3.0,3131,721,272,3143,2341,0
77,100.0,74.6479,939,42.8768,3.0,347,10.0,2728,3.0,359,2019.0,3.0,3131,721,4104,2623,2341,0
78,58.0,74.6442,1510,42.8763,2.0,50,3.0,1189,2.0,215,1964.0,2.8,3131,3843,4104,2623,1775,1
79,49.0,74.6479,939,42.8768,1.0,498,10.0,2728,7.0,359,2019.0,3.0,3131,721,4104,2623,2341,0
80,67.0,74.6116,338,42.8744,3.0,1103,12.0,1189,7.0,209,-999.0,-999.0,3131,721,4104,3143,2341,0
81,150.0,74.5884,939,42.8545,3.0,694,10.0,2728,3.0,568,2018.0,3.0,3131,721,861,3143,2341,0
82,120.0,74.5884,1257,42.8545,3.0,667,10.0,2728,3.0,568,2018.0,3.0,3131,721,861,3143,2341,0
83,73.0,74.5884,1372,42.8545,2.0,902,10.0,2728,2.0,594,2018.0,3.0,3131,721,272,3143,2341,0
84,50.0,74.5884,1372,42.8544,1.0,765,10.0,2728,10.0,593,2018.0,3.0,3131,721,861,3143,1229,0
85,48.0,74.6887,1257,42.8752,2.0,1100,5.0,473,1.0,206,-999.0,-999.0,3131,909,4104,3143,2341,0
86,46.0,74.5929,1257,42.8694,3.0,174,5.0,1189,1.0,319,-999.0,2.85,3131,3843,4104,3143,1775,0
87,105.0,74.6861,1372,42.8801,3.0,968,11.0,2728,8.0,356,2017.0,3.0,771,721,4104,3143,1775,0
88,51.0,74.6479,1372,42.8768,2.0,435,10.0,2728,2.0,376,2019.0,3.0,3131,721,4104,2623,2341,0
89,84.0,74.6479,939,42.8768,2.0,171,10.0,2728,6.0,358,2019.0,3.0,3131,721,4104,2623,2341,0
90,122.0,74.6479,939,42.8768,3.0,187,10.0,2728,4.0,359,2019.0,3.0,3131,721,4104,2623,2341,0
91,42.0,74.5413,1510,42.8645,2.0,141,3.0,161,3.0,3,-999.0,2.7,1148,909,4104,2623,1229,0
92,49.0,74.5875,1510,42.8707,2.0,7,9.0,1189,2.0,225,-999.0,2.7,1148,909,4104,2623,1775,1
93,53.6,74.6316,1372,42.8322,1.0,18,12.0,1189,12.0,198,2018.0,2.7,716,909,4104,2623,1229,0
94,58.0,74.6183,1510,42.8285,3.0,329,4.0,374,1.0,238,1975.0,2.5,716,3843,4104,2623,1229,0
95,49.0,74.5833,194,42.8435,3.0,233,4.0,161,1.0,243,1968.0,2.5,716,909,4104,2623,1775,0
96,34.0,74.6812,1257,42.8577,1.0,281,9.0,1189,4.0,211,2020.0,3.0,3131,909,4104,2623,2341,0
97,61.0,74.6131,1510,42.8672,3.0,411,9.0,473,1.0,221,1984.0,2.5,716,3843,4104,2623,1775,0
98,65.0,74.5782,1510,42.8809,3.0,23,5.0,1189,1.0,138,-999.0,2.7,3131,909,4104,2623,1775,0
99,52.0,74.5887,1510,42.8061,2.0,274,4.0,1189,4.0,3,-999.0,-999.0,3131,3843,4104,3143,2341,0
100,43.0,74.6269,1257,42.8394,2.0,5,4.0,374,1.0,239,-999.0,-999.0,771,909,4104,2623,1229,0
101,87.0,74.5932,939,42.8717,2.0,324,13.0,2728,2.0,439,-999.0,3.0,3131,3843,4104,3143,1775,0
102,55.0,74.5915,939,42.8652,2.0,244,10.0,2728,5.0,313,-999.0,3.0,716,909,4104,3143,1775,0
103,134.0,74.5838,939,42.8815,4.0,128,10.0,2728,7.0,138,-999.0,-999.0,3131,3843,4104,3143,1775,0
104,82.0,74.6174,1510,42.8674,3.0,603,9.0,311,2.0,393,-999.0,2.8,3131,909,4104,3143,1775,0
105,73.0,74.6815,939,42.8585,2.0,35,7.0,2728,6.0,751,2020.0,3.0,3131,3843,861,2623,409,0
106,141.0,74.6829,1372,42.8803,5.0,28,10.0,2728,9.0,576,2016.0,2.8,771,3843,4104,2623,409,0
107,150.0,74.6006,1510,42.8343,3.0,976,9.0,2728,6.0,713,-999.0,-999.0,1148,721,861,3143,409,0
